E INIT_PERIOD SPEED COLLAPSE_TIME WAVE_WIDTH
4.500000000000000111e-01 1.400000000000000000e+01 2.278481012658227778e-01 2.300000000000000000e+01 9.531250000000000000e+00
4.544444444444444287e-01 1.600000000000000000e+01 2.045454545454545303e-01 2.400000000000000000e+01 9.500000000000000000e+00
4.588888888888889017e-01 1.700000000000000000e+01 1.818181818181818232e-01 2.600000000000000000e+01 9.439024390243902829e+00
4.633333333333333193e-01 1.900000000000000000e+01 1.592920353982300863e-01 2.900000000000000000e+01 9.361702127659574657e+00
4.677777777777777923e-01 2.100000000000000000e+01 1.374045801526717625e-01 3.200000000000000000e+01 9.333333333333333925e+00
4.722222222222222099e-01 2.400000000000000000e+01 1.168831168831168804e-01 3.600000000000000000e+01 9.278195488721804551e+00
4.766666666666666829e-01 2.800000000000000000e+01 9.574468085106382920e-02 4.100000000000000000e+01 9.243902439024390461e+00
4.811111111111111005e-01 3.400000000000000000e+01 7.531380753138075534e-02 4.900000000000000000e+01 9.193396226415094574e+00
4.855555555555555181e-01 4.400000000000000000e+01 5.487804878048780505e-02 6.200000000000000000e+01 9.159863945578230471e+00
4.899999999999999911e-01 6.400000000000000000e+01 3.501945525291828842e-02 8.700000000000000000e+01 9.114649681528662839e+00
