p BER FER BLER BER_EXP FER_EXP BLER_EXP n L f users_err frame_err block_err users_err_exp frame_err_exp block_err_exp
0.448750 2.4e-09 6e-05 1.2e-06 0 0 0 50000 50 200000 24 12 12 0 0 0
0.450000 1.8e-09 4.5e-05 9e-07 0 0 0 50000 50 200000 18 9 9 0 0 0
0.451250 1.8e-09 4.5e-05 9e-07 0 0 0 50000 50 200000 18 9 9 0 0 0
0.452500 2.2e-09 5.5e-05 1.1e-06 0 0 0 50000 50 200000 22 11 11 0 0 0
0.453750 1.4e-09 3.5e-05 7e-07 0 0 0 50000 50 200000 14 7 7 0 0 0
0.455000 6.825e-07 8.5e-05 3.9e-06 6.793e-07 5e-06 2.3e-06 50000 50 200000 6825 17 39 6793 1 23
0.456250 7.927e-07 0.000105 7.5e-06 7.897e-07 3e-05 6e-06 50000 50 200000 7927 21 75 7897 6 60
0.457500 1.50014e-05 0.000265 6.5e-05 1.49998e-05 0.000225 6.42e-05 50000 50 200000 150014 53 650 149998 45 642
0.458750 2.66792e-05 0.00065 0.0001412 2.66768e-05 0.00059 0.00014 50000 50 200000 266792 130 1412 266768 118 1400
0.460000 9.10982e-05 0.0018 0.000441267 9.10969e-05 0.00176667 0.0004406 50000 50 300000 1366473 540 6619 1366453 530 6609
0.461250 0.000250537 0.0044 0.001136 0.000250535 0.00435 0.001135 50000 50 100000 1252684 440 5680 1252674 435 5675
0.462500 0.000577657 0.0095904 0.0025553 0.000577653 0.00951015 0.0025537 50000 50 99683 2879127 956 12736 2879111 948 12728
0.463750 0.00141704 0.0198354 0.00578039 0.00141704 0.0197103 0.00577788 50000 50 87873 6225992 1743 25397 6225970 1732 25386
0.465000 0.002935 0.0372213 0.0114793 0.002935 0.037184 0.0114786 50000 50 53679 7877398 1998 30810 7877394 1996 30808
0.466250 0.00532428 0.0617627 0.0200482 0.00532428 0.0617009 0.0200469 50000 50 32382 8620548 2000 32460 8620544 1998 32458
0.467500 0.00992482 0.103875 0.0358554 0.00992482 0.103823 0.0358544 50000 50 19254 9554624 2000 34518 9554622 1999 34517
0.468750 0.0180162 0.169967 0.0624917 0.0180162 0.169882 0.06249 50000 50 11767 10599846 2000 36767 10599844 1999 36766
0.470000 0.0273024 0.240125 0.0920255 0.0273024 0.240125 0.0920255 50000 50 8329 11370082 2000 38324 11370082 2000 38324
0.471250 0.0450917 0.354108 0.1463 0.0450917 0.354108 0.1463 50000 50 5648 12733889 2000 41315 12733889 2000 41315
0.472500 0.0631244 0.469484 0.20093 0.0631244 0.469484 0.20093 50000 50 4260 13445493 2000 42798 13445493 2000 42798
0.473750 0.0897072 0.613121 0.277566 0.0897072 0.613121 0.277566 50000 50 3262 14631244 2000 45271 14631244 2000 45271
0.475000 0.120509 0.754717 0.363389 0.120509 0.754717 0.363389 50000 50 2650 15967465 2000 48149 15967465 2000 48149
0.476250 0.151191 0.855066 0.442078 0.151191 0.855066 0.442078 50000 50 2339 17681800 2000 51701 17681800 2000 51701
0.477500 0.185257 0.932836 0.526054 0.185257 0.932836 0.526054 50000 50 2144 19859595 2000 56393 19859595 2000 56393
0.478750 0.20991 0.969932 0.58225 0.20991 0.969932 0.58225 50000 50 2062 21641767 2000 60030 21641767 2000 60030
0.480000 0.24183 0.98668 0.652541 0.24183 0.98668 0.652541 50000 50 2027 24509429 2000 66135 24509429 2000 66135
0.481250 0.267744 0.997009 0.707517 0.267744 0.997009 0.707517 50000 50 2006 26854733 2000 70964 26854733 2000 70964
0.482500 0.289534 0.9995 0.752244 0.289534 0.9995 0.752244 50000 50 2001 28967861 2000 75262 28967861 2000 75262
0.483750 0.310268 1 0.79409 0.310268 1 0.79409 50000 50 2000 31026803 2000 79409 31026803 2000 79409
0.485000 0.330039 1 0.8335 0.330039 1 0.8335 50000 50 2000 33003930 2000 83350 33003930 2000 83350
