p BER FER BLER BER_EXP FER_EXP BLER_EXP n L f users_err frame_err block_err users_err_exp frame_err_exp block_err_exp
0.453750 0.000205121 0.001375 0.0006329 0.00020512 0.001335 0.0006321 50000 50 200000 2051214 275 6329 2051198 267 6321
0.455000 0.00034774 0.002335 0.0010705 0.000347739 0.002305 0.0010699 50000 50 200000 3477397 467 10705 3477385 461 10699
0.456250 0.000598704 0.00385 0.0018216 0.000598703 0.00382 0.001821 50000 50 200000 5987042 770 18216 5987030 764 18210
0.457500 0.000965495 0.006295 0.0029475 0.000965495 0.00628 0.0029472 50000 50 200000 9654953 1259 29475 9654947 1256 29472
0.458750 0.00168314 0.01082 0.0051115 0.00168314 0.01079 0.0051109 50000 50 200000 16831443 2164 51115 16831431 2158 51109
0.460000 0.00272034 0.01731 0.0082375 0.00272034 0.017265 0.0082366 50000 50 200000 27203409 3462 82375 27203391 3453 82366
0.461250 0.00455451 0.028755 0.0137564 0.00455451 0.028715 0.0137556 50000 50 200000 45545116 5751 137564 45545100 5743 137556
0.462500 0.00754726 0.0482 0.0228571 0.00754726 0.04817 0.0228565 50000 50 200000 75472576 9640 228571 75472564 9634 228565
0.463750 0.0124085 0.0797073 0.0377116 0.0124085 0.0796773 0.037711 50000 50 199919 124034495 15935 376963 124034483 15929 376957
0.465000 0.0201251 0.129716 0.0613138 0.0201251 0.129651 0.0613125 50000 50 154098 155061703 19989 472417 155061683 19979 472407
0.466250 0.0319373 0.205706 0.0976693 0.0319373 0.205675 0.0976687 50000 50 97226 155256789 20000 474800 155256783 19997 474797
0.467500 0.0489944 0.310945 0.149713 0.0489944 0.310914 0.149712 50000 50 64320 157565999 20000 481476 157565995 19998 481474
0.468750 0.0721037 0.443912 0.219311 0.0721037 0.443912 0.219311 50000 50 45054 162427906 20000 494042 162427906 20000 494042
0.470000 0.0996781 0.587907 0.300953 0.0996781 0.587848 0.300951 50000 50 34019 169547514 20000 511906 169547508 19998 511903
0.471250 0.1353 0.737898 0.401319 0.1353 0.737862 0.401318 50000 50 27104 183359118 20000 543867 183359116 19999 543866
0.472500 0.168413 0.843419 0.489886 0.168413 0.843419 0.489885 50000 50 23713 199678576 20000 580833 199678574 20000 580832
0.473750 0.201662 0.921022 0.573487 0.201662 0.921022 0.573487 50000 50 21715 218955005 20000 622664 218955005 20000 622664
0.475000 0.230957 0.968242 0.643745 0.230957 0.968242 0.643744 50000 50 20656 238532535 20000 664860 238532531 20000 664859
