# epsilon fer_350it fer_300it fer_250it fer_200it fer_175it
4.500000000000000111e-01 7.368009868891078895e-09 7.368009868891078895e-09 7.368009868891078895e-09 7.368009868891078895e-09 4.987329700778531105e-06
4.503030303030303161e-01 1.023458218174511103e-08 1.023458218174511103e-08 1.023458218174511103e-08 1.023458218174511103e-08 8.327911131700282965e-06
4.506060606060606211e-01 1.417903794376229598e-08 1.417903794376229598e-08 1.417903794376229598e-08 1.417903794376229598e-08 1.267400220783532205e-05
4.509090909090909260e-01 1.959209861013277987e-08 1.959209861013277987e-08 1.959209861013277987e-08 1.959209861013277987e-08 1.825996885640446266e-05
4.512121212121212310e-01 2.700060364180245642e-08 2.700060364180245642e-08 2.700060364180245642e-08 2.700060364180245642e-08 2.536657503304784456e-05
4.515151515151515360e-01 3.711291152175277830e-08 3.711291152175277830e-08 3.711291152175277830e-08 3.711291152175277830e-08 3.432896573529742312e-05
4.518181818181818410e-01 5.087872934073089937e-08 5.087872934073089937e-08 5.087872934073089937e-08 5.087872934073089937e-08 4.554583629479136420e-05
4.521212121212121460e-01 6.956771692046004318e-08 6.956771692046004318e-08 6.956771692046004318e-08 6.956771692046004318e-08 5.948993472093544455e-05
4.524242424242424510e-01 9.487242702554965490e-08 9.487242702554965490e-08 9.487242702554965490e-08 9.487242702554965490e-08 7.672005736270026688e-05
4.527272727272727559e-01 1.290427072975219858e-07 1.290427072975219858e-07 1.290427072975219858e-07 1.290427072975219858e-07 9.789471212973133163e-05
4.530303030303030609e-01 1.750606186678993481e-07 1.750606186678993481e-07 1.750606186678993481e-07 1.750606186678993481e-07 1.237876378046287584e-04
4.533333333333333659e-01 2.368673721608871574e-07 2.368673721608871574e-07 2.368673721608871574e-07 2.368673721608871574e-07 1.553053824338013200e-04
4.536363636363636709e-01 3.196568156837997776e-07 3.196568156837997776e-07 3.196568156837997776e-07 3.196568156837997776e-07 1.935071581482539216e-04
4.539393939393939204e-01 4.302050268245594111e-07 4.302050268245594111e-07 4.302050268245594111e-07 4.302050268245594111e-07 2.396111254366894983e-04
4.542424242424242253e-01 5.771493386541592940e-07 5.771493386541592940e-07 5.771493386541592940e-07 5.771493386541592940e-07 2.949645505829767700e-04
4.545454545454545303e-01 7.722745410942977173e-07 7.722745410942977173e-07 7.722745410942977173e-07 7.722745410942977173e-07 3.612868947691083577e-04
4.548484848484848353e-01 1.030684205538534570e-06 1.030684205538534570e-06 1.030684205538534570e-06 2.399640677275272083e-05 4.404888069720058752e-04
4.551515151515151403e-01 1.371985006048959121e-06 1.371985006048959121e-06 1.371985006048959121e-06 5.840528069600559036e-05 5.347733205814941826e-04
4.554545454545454453e-01 1.821554866388019889e-06 1.821554866388019889e-06 1.821554866388019889e-06 1.025700643897398123e-04 6.466743074436953620e-04
4.557575757575757502e-01 2.412145179375713155e-06 2.412145179375713155e-06 2.412145179375713155e-06 1.584820559332733581e-04 7.790990129138419817e-04
4.560606060606060552e-01 3.185898239999040982e-06 3.185898239999040982e-06 3.185898239999040982e-06 2.284634782475647441e-04 9.353749502395425353e-04
4.563636363636363602e-01 4.196878752749100272e-06 4.196878752749100272e-06 4.196878752749100272e-06 3.152128729732028845e-04 1.119301424197582939e-03
4.566666666666666652e-01 5.514239333481718575e-06 5.514239333481718575e-06 5.514239333481718575e-06 4.218553669306235321e-04 1.335205938605810161e-03
4.569696969696969702e-01 7.226164789320144166e-06 7.226164789320144166e-06 7.226164789320144166e-06 5.519981274173524355e-04 1.588005718742846462e-03
4.572727272727272751e-01 9.444769092481486439e-06 9.444769092481486439e-06 9.444769092481486439e-06 7.097913061285821001e-04 1.883274546242930114e-03
4.575757575757575801e-01 1.231215294494880652e-05 1.231215294494880652e-05 1.231215294494880652e-05 8.999947453904866279e-04 2.227315058994094876e-03
4.578787878787878851e-01 1.600262419421127902e-05 1.600262419421127902e-05 1.600262419421127902e-05 1.127024381761709826e-03 2.626089480196935888e-03
4.581818181818181901e-01 2.073115747047715729e-05 2.073115747047715729e-05 2.073115747047715729e-05 1.395464764602505348e-03 3.085806477594821295e-03
4.584848484848484951e-01 2.678647203446793412e-05 2.678647203446793412e-05 2.678647203446793412e-05 1.713988131373245238e-03 3.617275541720976761e-03
4.587878787878788001e-01 3.451945374299825176e-05 3.451945374299825176e-05 3.451945374299825176e-05 2.090388864689929349e-03 4.230344913495387438e-03
4.590909090909091050e-01 4.436752912362340595e-05 4.436752912362340595e-05 4.436752912362340595e-05 2.537837423023936445e-03 4.940375253262963007e-03
4.593939393939394100e-01 5.687425044276217534e-05 5.687425044276217534e-05 5.687425044276217534e-05 3.065382565830776507e-03 5.758741929355992717e-03
4.596969696969697150e-01 7.271283735132971771e-05 7.271283735132971771e-05 7.271283735132971771e-05 3.682454063684281742e-03 6.697335994959363603e-03
4.600000000000000200e-01 9.271435014113205142e-05 9.271435014113205142e-05 9.271435014113205142e-05 4.401782073843563126e-03 7.771479706001338528e-03
4.603030303030303250e-01 1.179012530143630499e-04 1.179012530143630499e-04 1.179012530143630499e-04 5.237569294094024386e-03 8.998092336515606249e-03
4.606060606060606299e-01 1.495272111085022004e-04 1.495272111085022004e-04 1.495272111085022004e-04 6.205611721571968609e-03 1.039580173490317616e-02
4.609090909090909349e-01 1.891240497188251268e-04 1.891240497188251268e-04 1.891240497188251268e-04 7.323421281013819950e-03 1.198505447848008387e-02
4.612121212121212399e-01 2.385568847629304656e-04 2.385568847629304656e-04 2.385568847629304656e-04 8.610348672153933514e-03 1.378822254983969042e-02
4.615151515151514894e-01 3.000885055717272820e-04 3.000885055717272820e-04 3.000885055717272820e-04 1.008770441738993107e-02 1.582970407725614592e-02
4.618181818181817944e-01 3.764291876618974797e-04 3.764291876618974797e-04 3.764291876618974797e-04 1.178078671585691684e-02 1.813737416235738920e-02
4.621212121212120993e-01 4.708591743738388402e-04 4.708591743738388402e-04 4.708591743738388402e-04 1.371575803394065041e-02 2.074040103261232115e-02
4.624242424242424043e-01 5.873474558908409193e-04 5.873474558908409193e-04 5.873474558908409193e-04 1.591885370212597905e-02 2.366863207688030268e-02
4.627272727272727093e-01 7.306125744965807911e-04 7.306125744965807911e-04 1.350359947609569566e-03 1.842042250677533577e-02 2.695545378635832989e-02
4.630303030303030143e-01 9.062716955565708332e-04 9.062716955565708332e-04 2.486606961947468442e-03 2.125326212710976215e-02 3.063658970969096451e-02
4.633333333333333193e-01 1.120984688704140808e-03 1.120984688704140808e-03 3.857806723296164364e-03 2.445266248383481944e-02 3.475009036410414698e-02
4.636363636363636243e-01 1.382614929427927741e-03 1.382614929427927741e-03 5.496684907539184373e-03 2.805642000410857317e-02 3.933628755239304553e-02
4.639393939393939292e-01 1.700407258275249411e-03 1.700407258275249411e-03 7.439036331160275850e-03 3.210481686517197009e-02 4.443770713217776169e-02
4.642424242424242342e-01 2.085183133386681043e-03 2.085183133386681043e-03 9.723808512889786648e-03 3.664055884346373304e-02 5.009893400875065073e-02
4.645454545454545392e-01 2.549552495978879563e-03 2.549552495978879563e-03 1.239314920647982543e-02 4.170866504464376678e-02 5.636642296372573746e-02
4.648484848484848442e-01 3.108141225981464473e-03 3.108141225981464473e-03 1.549240982288091484e-02 4.735630255615930206e-02 6.328824892279849568e-02
4.651515151515151492e-01 3.777832287221949414e-03 3.777832287221949414e-03 1.907009606748288899e-02 5.363255898542818034e-02 7.091379044440071500e-02
4.654545454545454541e-01 4.578017743098738990e-03 4.578017743098738990e-03 2.317775666144461510e-02 6.058814596441697287e-02 7.929334061590298521e-02
4.657575757575757591e-01 5.528249455103440013e-03 5.528249455103440013e-03 2.783393562388536413e-02 6.823697654763338782e-02 8.843849700950745518e-02
4.660606060606060641e-01 6.653786305128917000e-03 6.653786305128917000e-03 3.310498819074148003e-02 7.664230916690883966e-02 9.841096965499240845e-02
4.663636363636363691e-01 7.983836368330887723e-03 7.983836368330887723e-03 3.906546700018320717e-02 8.587368636919090470e-02 1.092777960536950310e-01
4.666666666666666741e-01 9.549981866801116048e-03 9.549981866801116048e-03 4.577538396284674960e-02 9.598288046718339572e-02 1.210866287193517188e-01
4.669696969696969790e-01 1.138748893308583199e-02 1.138748893308583199e-02 5.329600063044193092e-02 1.070206120448933262e-01 1.338829177521189129e-01
4.672727272727272840e-01 1.353549288881084056e-02 1.353549288881084056e-02 6.168918149207403001e-02 1.190357598033185971e-01 1.477090489589407696e-01
4.675757575757575890e-01 1.603714018726976054e-02 1.603714018726976054e-02 7.101663501321109351e-02 1.320744842776649941e-01 1.626034089098919999e-01
4.678787878787878940e-01 1.893967405818719474e-02 1.893967405818719474e-02 8.136851394057542652e-02 1.462087438669925632e-01 1.786288588302009650e-01
4.681818181818181990e-01 2.229444989808537780e-02 2.416709107455228267e-02 9.283992649630701255e-02 1.615127619180616314e-01 1.958491796289389963e-01
4.684848484848485040e-01 2.615686576803266661e-02 3.289896578282447415e-02 1.054310592892891973e-01 1.779631527957539205e-01 2.142291995489864487e-01
4.687878787878787534e-01 3.058619309311749745e-02 4.280137205346679075e-02 1.191931738852136657e-01 1.955849757169605407e-01 2.337808766328340893e-01
4.690909090909091139e-01 3.564529290813744922e-02 5.394856577057005609e-02 1.341718113578860283e-01 2.143950569452023336e-01 2.545066797388604307e-01
4.693939393939393634e-01 4.140020386174569911e-02 6.641006006699723407e-02 1.504054409848725182e-01 2.344008219027474693e-01 1.000000000000000000e+00
4.696969696969696684e-01 4.790475686008366374e-02 8.018100063207977968e-02 1.678555723904124886e-01 2.555301441487454195e-01 1.000000000000000000e+00
