# epsilon fer_350it fer_300it fer_250it fer_200it fer_175it
4.500000000000000111e-01 7.368067489466056941e-09 7.367986665229864229e-09 7.368152754594348153e-09 4.561049083973145457e-07 1.565892709964877838e-05
4.512499999999999845e-01 2.809969879002949256e-08 2.809998012054393257e-08 2.810420385301881652e-08 3.377769628110094402e-06 4.641029152363529420e-05
4.525000000000000133e-01 1.024811948635573344e-07 1.024815223793495989e-07 1.027332372505185276e-07 1.681784165619149007e-05 1.179064616843028546e-04
4.537499999999999867e-01 3.574437515974082658e-07 3.574437554831888519e-07 3.671401506144533755e-07 6.789256058181702969e-05 2.809745355807358180e-04
4.550000000000000155e-01 1.189539456492028080e-06 1.189539767798564185e-06 1.392742477235309195e-06 2.112834514802486297e-04 6.134809168353294595e-04
4.562499999999999889e-01 3.785942041201195707e-06 3.785975777548244992e-06 6.696069442369001479e-06 5.768306328921557480e-04 1.290968566962424902e-03
4.575000000000000178e-01 1.152538426385518733e-05 1.152773161305908900e-05 3.694448826407903397e-05 1.358726001404297890e-03 2.563928809017568256e-03
4.587499999999999911e-01 3.344706676167152892e-05 3.353644127157551225e-05 1.889046848532194289e-04 2.954616684711974806e-03 4.933430339020494770e-03
4.600000000000000200e-01 9.271452245818156968e-05 9.463859426439569233e-05 7.719925015611250885e-04 5.977618055455824475e-03 9.270470466387625841e-03
4.612499999999999933e-01 2.455464306992949375e-04 2.693341058496168117e-04 2.468294052586861298e-03 1.138665653413462042e-02 1.823108042090337833e-02
4.625000000000000222e-01 6.208382026344771987e-04 8.100967051000163011e-04 6.469953153211194241e-03 2.058983540007841562e-02 4.087778385545970394e-02
4.637499999999999956e-01 1.502532209282758657e-03 2.547523484288660711e-03 1.480206851525134315e-02 3.626439892396915443e-02 1.074794755032302263e-01
4.649999999999999689e-01 3.523432080169142111e-03 7.606851014071436268e-03 3.008699522611102406e-02 6.404106529019637506e-02 2.566216422477265446e-01
4.662499999999999978e-01 8.112182073406026817e-03 1.937936070588697213e-02 5.499954875105728114e-02 1.175234165044429790e-01 4.680558011267613727e-01
4.674999999999999711e-01 1.845460843301283127e-02 4.294918648475842815e-02 9.373722057340105884e-02 2.223445226952934783e-01 6.870620158382023668e-01
4.687500000000000000e-01 4.056829250512838936e-02 8.397797957103614319e-02 1.507073678190030686e-01 3.941427335409936061e-01 8.518605279325437429e-01
4.699999999999999734e-01 8.280256809628316894e-02 1.472169278783920232e-01 2.308455977472917420e-01 6.041111433893057159e-01 9.434852062978694720e-01
4.712500000000000022e-01 1.498778706096142166e-01 2.319288511305975797e-01 3.367244016901981274e-01 7.765010902173037355e-01 9.800980537717046692e-01
4.724999999999999756e-01 2.460051086986199120e-01 3.396895854896284650e-01 4.735265755310648084e-01 8.950816555618130721e-01 9.940084513666012089e-01
4.737500000000000044e-01 3.679977755752414925e-01 4.662978868684299893e-01 6.329026661867280801e-01 9.608325258136836133e-01 9.985887877291604875e-01
4.749999999999999778e-01 5.060009170384898169e-01 6.032471148931413119e-01 7.843434862469775837e-01 9.879281539350498464e-01 9.997114152466254344e-01
