# epsilon fer_350it fer_300it fer_250it fer_200it fer_175it
4.500000000000000111e-01 7.367758403376001297e-09 7.367976451178037678e-09 7.368075261027229317e-09 3.729240732885941156e-07 1.466798155969062378e-05
4.512499999999999845e-01 2.809969112949062264e-08 2.810164900779454911e-08 2.810171872980049557e-08 2.521691674028936347e-06 4.226091492631756097e-05
4.525000000000000133e-01 1.024813750527542311e-07 1.025195983661575383e-07 1.025737219606526196e-07 1.278763257672732578e-05 1.085632870966302121e-04
4.537499999999999867e-01 3.574437152931153605e-07 3.574437782427608568e-07 3.604974587734233182e-07 5.080855627648261930e-05 2.557434746723874497e-04
4.550000000000000155e-01 1.189539355794799746e-06 1.189539437618236661e-06 1.253675193657599607e-06 1.646628826783569366e-04 5.629208706319221989e-04
4.562499999999999889e-01 3.785942073841752631e-06 3.785944799994389598e-06 4.670625809444217680e-06 4.538354325973603665e-04 1.174216801469230020e-03
4.575000000000000178e-01 1.152538445836626124e-05 1.152557362238404437e-05 1.984904104790352619e-05 1.103476108481271645e-03 2.341154889639707193e-03
4.587499999999999911e-01 3.344706555352683353e-05 3.345427860534933018e-05 8.783877951024088304e-05 2.424071119921045181e-03 4.470358301926879996e-03
4.600000000000000200e-01 9.271435318491949573e-05 9.289121058697613620e-05 3.627069818099570853e-04 4.980130020793227530e-03 8.269830005503964188e-03
4.612499999999999933e-01 2.455357107880029588e-04 2.483038817890914629e-04 1.275570642380152719e-03 9.639027275867739775e-03 1.490312770409318865e-02
4.625000000000000222e-01 6.204621219072503635e-04 6.493320132467950145e-04 3.770321032072754264e-03 1.774733369451797493e-02 2.703027524235024348e-02
4.637499999999999956e-01 1.494987742060804869e-03 1.701694306356582587e-03 9.493501781820512520e-03 3.125365613525188380e-02 5.256591578362423967e-02
4.649999999999999689e-01 3.433514371104284812e-03 4.484448194828294376e-03 2.087672065594836646e-02 5.291686915644244760e-02 1.107943631278444085e-01
4.662499999999999978e-01 7.518566485581690273e-03 1.142405906598564780e-02 4.101938170149788121e-02 8.699804353446072280e-02 2.267631533786155229e-01
4.674999999999999711e-01 1.579474174517614404e-02 2.685972386939872170e-02 7.368826275934314829e-02 1.420262363969653219e-01 4.048219639590141528e-01
4.687500000000000000e-01 3.208953161748095972e-02 5.709181576752964116e-02 1.233771838146368038e-01 2.346026204025949413e-01 6.148451319476109234e-01
4.699999999999999734e-01 6.276484539026228049e-02 1.084088607518670644e-01 1.933892365378734324e-01 3.786808978179547758e-01 7.947637185145428607e-01
4.712500000000000022e-01 1.160925514924643354e-01 1.850100556822369402e-01 2.854787582954697589e-01 5.617528399036157971e-01 9.098727457540107810e-01
4.724999999999999756e-01 1.993879250611579890e-01 2.878669113384797473e-01 4.004462338310567082e-01 7.432965050915294469e-01 9.679786505391148044e-01
4.737500000000000044e-01 3.145575995576210815e-01 4.133268562584104799e-01 5.379423539570113988e-01 8.821461796194443039e-01 9.913921372826642875e-01
4.749999999999999778e-01 4.526524219376337754e-01 5.500865568668306116e-01 6.863801869041208370e-01 9.568001406331775316e-01 9.980724201633285331e-01
