# epsilon fer_350it fer_300it fer_250it fer_200it fer_175it
4.500000000000000111e-01 2.745015637017900190e-08 7.471114504831177783e-09 7.339013397000826444e-09 6.321179469859217193e-07 1.527826236158436046e-05
4.512499999999999845e-01 3.120020852787064314e-08 3.710174345528116646e-08 2.797635190177061304e-08 4.058292992659140452e-06 4.624132311459305811e-05
4.525000000000000133e-01 1.048235618306136985e-07 1.019392057433066157e-07 1.075017797003141595e-07 1.985890854949712292e-05 1.219843641766527043e-04
4.537499999999999867e-01 3.707908201588949737e-07 3.600261512248792428e-07 5.931911973844350427e-07 7.015552942957192784e-05 2.808335463833078194e-04
4.550000000000000155e-01 1.200692644642842311e-06 1.196774528033905938e-06 2.748199937507855850e-06 2.232257440681895133e-04 6.293864198169130120e-04
4.562499999999999889e-01 3.746815924743351900e-06 3.874468355147264731e-06 1.370620367413533103e-05 5.777402745118509486e-04 1.340244229367293372e-03
4.575000000000000178e-01 1.167592441619902388e-05 1.181253462545495125e-05 6.183157252936943848e-05 1.387420633342184573e-03 2.622639447106167587e-03
4.587499999999999911e-01 3.342134647743577602e-05 3.610055610170359586e-05 2.371622874167700346e-04 3.023703207522321357e-03 5.277848287810305017e-03
4.600000000000000200e-01 9.376213993339543862e-05 1.084599345047010388e-04 8.685417960310193308e-04 5.950566273757562641e-03 1.092683790011239608e-02
4.612499999999999933e-01 2.484016216808271338e-04 3.387887691217450481e-04 2.580947061854077518e-03 1.144828620772020411e-02 2.466685783581490377e-02
4.625000000000000222e-01 6.341667117543137167e-04 1.037007861249827911e-03 6.684958273080243707e-03 2.194768974343741519e-02 5.907983508986502930e-02
4.637499999999999956e-01 1.597993504115713392e-03 3.143814207819284334e-03 1.510358235738706867e-02 3.978360273530578972e-02 1.390601213952421533e-01
4.649999999999999689e-01 3.801374562039327998e-03 8.567302072749027886e-03 3.036701304109756805e-02 7.463566766260232299e-02 2.748976185168776620e-01
4.662499999999999978e-01 9.017722000176253694e-03 2.057560046974893364e-02 5.464165371705864693e-02 1.323829601565239544e-01 4.399624280057141679e-01
4.674999999999999711e-01 2.004959715367493622e-02 4.421251510400159290e-02 9.368077307370503704e-02 2.296362807492106084e-01 6.373480036032568297e-01
4.687500000000000000e-01 4.240023169545059645e-02 8.311962165740716113e-02 1.509715769707967725e-01 3.831585662759059430e-01 8.185327805877780083e-01
4.699999999999999734e-01 8.153195727786088920e-02 1.444921142976963724e-01 2.304905990649739334e-01 5.627706398230315488e-01 9.259788918876653563e-01
4.712500000000000022e-01 1.502821794037206837e-01 2.248570779928670271e-01 3.355727884730940191e-01 7.586741288059171140e-01 9.780264207469925308e-01
4.724999999999999756e-01 2.428227013174489857e-01 3.357526179735483840e-01 4.645588938575749838e-01 8.875345490071604448e-01 9.947734978448530274e-01
4.737500000000000044e-01 3.545726365057518814e-01 4.587112135430698734e-01 6.250742746952144824e-01 9.629300909158817756e-01 9.995773355882467959e-01
4.749999999999999778e-01 4.920230707320035757e-01 5.852851483470995486e-01 7.390450279963346469e-01 9.905674735165407307e-01 9.999772427050798163e-01
